АВСТРАЛІЯ	Країна, що займає цілий материк
АРГЕНТИНА	Країна танго й пампи
БРАЗИЛІЯ	Найбільша країна Південної Америки
ВЕНЕСУЕЛА	Країна, де падає найвищий водоспад світу Анхель
ЕКВАДОР	Країна, назва якої іспанською означає «екватор»
ЄГИПЕТ	Країна пірамід Гізи
ІНДІЯ	Батьківщина шахів і Тадж-Махалу
ІСЛАНДІЯ	Острівна країна гейзерів на півночі Атлантики
ІСПАНІЯ	Країна корид і фламенко
КАНАДА	Країна з кленовим листком на прапорі
КЕНІЯ	Африканська країна на екваторі, столиця Найробі
КУБА	Острівна країна, столиця Гавана
МЕКСИКА	Країна ацтеків і кактусів агави
МОНГОЛІЯ	Країна степів і юрт, столиця Улан-Батор
НОРВЕГІЯ	Країна фіордів, столиця Осло
ПЕРУ	Країна, де стоїть Мачу-Пікчу
ПОРТУГАЛІЯ	Найзахідніша країна континентальної Європи
ФІНЛЯНДІЯ	Країна тисяч озер, столиця Гельсінкі
ЯПОНІЯ	Країна висхідного сонця
ГРУЗІЯ	Країна, столиця якої Тбілісі
ТУРЕЧЧИНА	Країна одночасно в Європі та Азії, столиця Анкара
ШВЕЙЦАРІЯ	Альпійська країна з чотирма державними мовами
НІДЕРЛАНДИ	Країна тюльпанів і вітряків
ГРЕЦІЯ	Батьківщина Олімпійських ігор
ЧИЛІ	Найвужча й одна з найдовших країн світу
МАРОККО	Африканська країна, столиця Рабат
ПОЛЬЩА	Західна сусідка України, столиця Варшава
УГОРЩИНА	Країна, столиця якої Будапешт
МОЛДОВА	Країна між Україною та Румунією
РУМУНІЯ	Країна, столиця якої Бухарест
АВСТРІЯ	Батьківщина Моцарта, столиця Відень
ЕСТОНІЯ	Найпівнічніша з країн Балтії
ЛИТВА	Балтійська країна, столиця Вільнюс
ЛАТВІЯ	Балтійська країна, столиця Рига
ЛІМА	Столиця Перу
КАНБЕРРА	Столиця Австралії
ОТТАВА	Столиця Канади
ЛІСАБОН	Столиця Португалії
МАДРИД	Столиця Іспанії
ВАРШАВА	Столиця Польщі
ПРАГА	Столиця Чехії
БЕРЛІН	Столиця Німеччини
ВІДЕНЬ	Столиця Австрії
АФІНИ	Столиця Греції
ОСЛО	Столиця Норвегії
ГЕЛЬСІНКІ	Столиця Фінляндії
СТОКГОЛЬМ	Столиця Швеції
